gene,gene_name,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
ENSG00000142627,EPHA2,IV: Basal,0.0411108795331388,0.1150170937238006,0.0711233847436431,0.17284353444795048
ENSG00000142632,ARHGEF19,IV: Basal,0.0117496873697373,0.0603315361684037,0.0711233847436431,0.17284353444795048
ENSG00000288398,ENSG00000288398,IV: Basal,0.0064610254272613,0.084644601331269,0.0711233847436431,0.17284353444795048
ENSG00000132881,CPLANE2,IV: Basal,0.0083889120466861,0.0881002338884704,0.0711233847436431,0.17284353444795048
ENSG00000037637,FBXO42,I: Ubiquitous,0.0944664443518132,0.0806559952797155,0.0711233847436431,0.17284353444795048
ENSG00000055070,SZRD1,I: Ubiquitous,0.1502969987494789,0.0385821228239635,0.0711233847436431,0.17284353444795048
ENSG00000157191,NECAP2,IV: Basal,0.0707065443934972,0.0642989258474183,0.0711233847436431,0.17284353444795048
ENSG00000261135,ENSG00000261135,IV: Basal,0.0158138807836598,0.0852817939619761,0.0711233847436431,0.17284353444795048
ENSG00000219481,NBPF1,IV: Basal,0.0421269278866194,0.0732060780506181,0.0711233847436431,0.17284353444795048
ENSG00000058453,CROCC,IV: Basal,0.047102959566486,0.0617156633852942,0.0711233847436431,0.17284353444795048
ENSG00000238142,ENSG00000238142,IV: Basal,0.0525479366402667,0.0580700600384409,0.0711233847436431,0.17284353444795048
ENSG00000159363,ATP13A2,IV: Basal,0.0695081283868278,0.0770291293742485,0.0711233847436431,0.17284353444795048
ENSG00000117118,SDHB,I: Ubiquitous,0.2806638182576073,0.0455140930254081,0.0711233847436431,0.17284353444795048
ENSG00000117115,PADI2,I: Ubiquitous,0.088708837015423,0.1319379652897198,0.0711233847436431,0.17284353444795048
ENSG00000179051,RCC2,I: Ubiquitous,0.0778449353897457,0.065984881536106,0.0711233847436431,0.17284353444795048
ENSG00000074964,ARHGEF10L,I: Ubiquitous,0.1646519383076281,0.0762292562853434,0.0711233847436431,0.17284353444795048
ENSG00000179023,KLHDC7A,I: Ubiquitous,0.1237494789495623,0.1085044869165347,0.0711233847436431,0.17284353444795048
ENSG00000159423,ALDH4A1,I: Ubiquitous,0.134899958315965,0.1005859157815845,0.0711233847436431,0.17284353444795048
ENSG00000169991,IFFO2,IV: Basal,0.0083368070029178,0.1250655525164645,0.0711233847436431,0.17284353444795048
ENSG00000127481,UBR4,I: Ubiquitous,0.1053824510212588,0.0677054536421586,0.0711233847436431,0.17284353444795048
