gene,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
CLCNKA,I: Ubiquitous,0.1555221003921359,0.1771824532734738,0.0597574352620383,0.2120822446921291
CLCNKB,I: Ubiquitous,0.2632773329425296,0.1677002408583159,0.0597574352620383,0.2120822446921291
FAM131C,IV: Basal,0.0358517965866851,0.1931396914746763,0.0597574352620383,0.2120822446921291
EPHA2,IV: Basal,0.0495077205931334,0.1723810036425536,0.0597574352620383,0.2120822446921291
ARHGEF19,IV: Basal,0.0146729017617252,0.0816205142796768,0.0597574352620383,0.2120822446921291
ENSG00000288398,IV: Basal,0.0051559439907272,0.0961475036376644,0.0597574352620383,0.2120822446921291
CPLANE2,IV: Basal,0.0078649240375349,0.085653056041671,0.0597574352620383,0.2120822446921291
FBXO42,I: Ubiquitous,0.0762111583332223,0.1086623362272091,0.0597574352620383,0.2120822446921291
SZRD1,I: Ubiquitous,0.1481234761987236,0.0268660406250275,0.0597574352620383,0.2120822446921291
NECAP2,I: Ubiquitous,0.1060721121606558,0.0612792251661428,0.0597574352620383,0.2120822446921291
ENSG00000261135,IV: Basal,0.011586440888723,0.1538399795284134,0.0597574352620383,0.2120822446921291
NBPF1,IV: Basal,0.0432770664854758,0.1110168659409649,0.0597574352620383,0.2120822446921291
CROCC,IV: Basal,0.0506357221208205,0.0781935269315445,0.0597574352620383,0.2120822446921291
ENSG00000238142,I: Ubiquitous,0.0976964787700342,0.0689102316821328,0.0597574352620383,0.2120822446921291
MFAP2,III: Patchy,0.0107293373657167,0.2132560314112229,0.0597574352620383,0.2120822446921291
ATP13A2,IV: Basal,0.0554674766961101,0.0833930320350191,0.0597574352620383,0.2120822446921291
SDHB,I: Ubiquitous,0.2262664481718825,0.0644044188756589,0.0597574352620383,0.2120822446921291
PADI2,IV: Basal,0.021902769821074,0.1328468335222567,0.0597574352620383,0.2120822446921291
RCC2,I: Ubiquitous,0.0882994266732392,0.0755948974671889,0.0597574352620383,0.2120822446921291
ARHGEF10L,I: Ubiquitous,0.1272598888874085,0.157360256659945,0.0597574352620383,0.2120822446921291
KLHDC7A,I: Ubiquitous,0.0676490050049516,0.1867735505941107,0.0597574352620383,0.2120822446921291
ALDH4A1,I: Ubiquitous,0.1826074599093158,0.1435285991697486,0.0597574352620383,0.2120822446921291
