gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value,archetype,c_cut_used,s_cut_used
AGTRAP,225177,detect_continuous,1e-06,0.1719402958561487,0.0936946146572418,1,0.0225446088103464,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
C1orf167,225177,detect_continuous,1e-06,0.0084111609977928,0.1541187354792875,1,0.1089723077659281,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
MTHFR,225177,detect_continuous,1e-06,0.0541307504762919,0.0932136623711355,1,0.032858214023242,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
CLCN6,225177,detect_continuous,1e-06,0.0454442505229219,0.1260194307170619,1,0.0308923660952773,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
ENSG00000285646,225177,detect_continuous,1e-06,0.0152324615746723,0.1017921806948796,-1,-0.0345741142376298,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
KIAA2013,225177,detect_continuous,1e-06,0.1210159119270618,0.0762581033479355,1,0.0422636445238337,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PLOD1,225177,detect_continuous,1e-06,0.0480466477482158,0.1126326725692553,1,0.0614328319835472,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
MFN2,225177,detect_continuous,1e-06,0.1039138100250025,0.1069756643826404,1,0.0375180729529829,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
MIIP,225177,detect_continuous,1e-06,0.0509954391434293,0.0555362483554125,-1,-0.0136825519345651,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
TNFRSF1B,225177,detect_continuous,1e-06,0.0484907428378564,0.2024045166977154,-1,-0.1511749443357602,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
VPS13D,225177,detect_continuous,1e-06,0.1825275227931804,0.0980487156024456,-1,-0.0266009229702431,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
DHRS3,225177,detect_continuous,1e-06,0.159954169386749,0.0992654588077712,-1,-0.0174998925180933,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
