gene,coverage,A1_abs,A2_abs
B2m,0.49688796680497926,0.49960172489371285,0.130667198160004
BC031181,0.10995850622406639,0.11039011787082356,0.066559395377677
BC100530,0.17531120331950206,0.17581360945421745,0.08520391272484752
Bad,0.10943983402489627,0.1098593309603693,0.09190167020387156
Bag1,0.12396265560165975,0.12385342079448251,0.10037986563396231
Banf1,0.2474066390041494,0.24783960093398533,0.09750764599544183
Bax,0.14263485477178423,0.14313842941544275,0.0628444953204421
Bcam,0.13018672199170125,0.13100576049911478,0.19041920122360037
Bcap31,0.13226141078838174,0.13290731605744038,0.0868562202106017
Bcas2,0.1358921161825726,0.13631031950429637,0.03879216512322284
Bex3,0.23807053941908712,0.23837546602609375,0.06682947707609256
Bfar,0.10114107883817428,0.10097793566878434,0.06727511268104722
Bgn,0.5985477178423236,0.5947768901002919,0.15353054164482172
Blvrb,0.14937759336099585,0.15061412397940888,0.13177527676285064
Bmp1,0.11099585062240663,0.11055454990206409,0.08623549324948626
Bnip2,0.10010373443983403,0.10069701102550374,0.10502578826955672
Bnip3,0.10321576763485477,0.10306547948472802,0.1446178953418978
Bnip3l,0.15767634854771784,0.1582371891605705,0.06841150504173084
Bola2,0.1592323651452282,0.15934655950349108,0.04845926138828226
Borcs7,0.125,0.12508028609563193,0.07024987456729263
Brd2,0.10684647302904564,0.10713714075957657,0.10185775107562679
Brd9,0.12188796680497925,0.12233095776672938,0.06374709335596208
Bri3,0.17427385892116182,0.17402596795100664,0.08567521883923128
Brk1,0.28734439834024894,0.2881174106333165,0.07195233422355769
Bsg,0.3215767634854772,0.321091212648381,0.054821752522359
Bst2,0.11410788381742738,0.11633064791900409,0.4314563833718675
Btf3,0.37396265560165975,0.374474258560354,0.0607739602596451
Btg2,0.19553941908713693,0.19653458403107318,0.1215564318267536
Bub3,0.11410788381742738,0.11461137717486951,0.10067318675005592
Bud31,0.1862033195020747,0.18710268872755795,0.08544383892334678
C1d,0.14107883817427386,0.14137932653942853,0.05334610689683348
C1qb,0.1146265560165975,0.11648423048482838,0.30876415481885483
C1qbp,0.13433609958506224,0.1342688699199568,0.11851383986298741
Cacybp,0.10736514522821576,0.10748922342812792,0.087416903872957
Cald1,0.3112033195020747,0.30940783721962595,0.1923750235924941
Calm1,0.8449170124481328,0.8466228053821961,0.047430431381123295
Calm2,0.45902489626556015,0.46037245033473756,0.033392926446308854
Calm3,0.18049792531120332,0.18079469421720792,0.046997363320202504
Calr,0.19865145228215766,0.19838721618665767,0.045399597321729684
Calu,0.23029045643153526,0.22928442942572244,0.11083652777258342
Camta1,0.13848547717842324,0.13904562587362354,0.12298584986918722
Canx,0.12655601659751037,0.12676839398852083,0.08030336440864436
Capg,0.10114107883817428,0.10159242253062692,0.05823664089850565
Capn2,0.1504149377593361,0.15078136213589194,0.10299155825910085
Capns1,0.3879668049792531,0.38812432358678883,0.011345959788212142
Capza2,0.1504149377593361,0.15093630424296603,0.05562458645716315
Capzb,0.274896265560166,0.27560955964402095,0.05295848420649887
Card19,0.11981327800829876,0.11954741323545733,0.1290800921252158
Carhsp1,0.10632780082987552,0.10675268605206994,0.21877272047429772
Cat,0.10684647302904564,0.10689639879400938,0.023684143515591238
Cav1,0.4320539419087137,0.43557756243326173,0.17870366735518978
Cbx1,0.10425311203319503,0.10474852411799214,0.0865397821336693
Cbx6,0.1037344398340249,0.10377717417571224,0.04097489249150912
Ccdc12,0.10217842323651452,0.10322712822228677,0.25346530886633706
Ccdc80,0.14678423236514523,0.14627141738537822,0.1322290163303027
Ccnd2,0.17064315352697096,0.17094007638950082,0.10064861318165376
Ccnd3,0.21369294605809128,0.21396469615994132,0.047536414795116784
Ccnl1,0.12811203319502074,0.12889931660327242,0.1774650476859394
Ccnl2,0.14678423236514523,0.1467407849886946,0.08002931899143609
Cct2,0.1338174273858921,0.13358046197937104,0.06439699792200809
Cct3,0.12811203319502074,0.12828564512198187,0.08809955726321596
Cct4,0.20643153526970953,0.20593031229866968,0.03179759572112374
Cct5,0.21680497925311204,0.21654059182882607,0.05704949711484246
Cct6a,0.15767634854771784,0.15770500216856784,0.030856846355752445
Cct7,0.1758298755186722,0.17643902308804665,0.0625316920522447
Cct8,0.18101659751037344,0.18061292084108999,0.04446514851305543
Cd151,0.21524896265560167,0.21670584376705507,0.17782683618652778
Cd164,0.13692946058091288,0.1370852380090223,0.033350235382326024
Cd200,0.15612033195020747,0.15688908519073824,0.10891921688862435
Cd34,0.30601659751037347,0.30577306587234127,0.20402916757100384
Cd36,0.2479253112033195,0.24963260321936004,0.31919482049094744
Cd47,0.11825726141078838,0.11830008043820643,0.022427894166662285
Cd59a,0.14678423236514523,0.14965939091849872,0.4814705369793897
Cd63,0.716804979253112,0.7160164814540345,0.04697730011392505
Cd81,0.5783195020746889,0.5781784190512597,0.048005246460321886
Cd9,0.3112033195020747,0.31432471484105656,0.22681531410812314
Cd93,0.1016597510373444,0.10364567530142463,0.451787902610564
Cdc37,0.14989626556016597,0.1501226613131452,0.07071128264097533
Cdc42,0.45228215767634855,0.45315023044579267,0.03366742000795498
Cdc42ep1,0.11047717842323651,0.1104847595747623,0.2173359107269176
Cdc42ep3,0.13174273858921162,0.131121664124609,0.11990251939022849
Cdc42se1,0.10736514522821576,0.10757152363657825,0.06929159046177391
Cdh5,0.12240663900414937,0.12431468499404347,0.6216007230934275
Cdk11b,0.11929460580912864,0.1194443386602377,0.040910756064409345
Cdk2ap2,0.11929460580912864,0.11947459220801053,0.1159068046823597
Cdk4,0.27282157676348545,0.27326846541366073,0.05649547478724268
Cdkn1a,0.14263485477178423,0.14373386430564125,0.30442721097793
Cdkn1c,0.3848547717842324,0.38689754876366245,0.12757040846486017
Cebpd,0.22354771784232366,0.22492721132542345,0.13344875749769924
Celf2,0.12033195020746888,0.11917462529195669,0.20521360244743714
Cetn3,0.145746887966805,0.14609203329099893,0.07701437874596527
Cfdp1,0.12811203319502074,0.12839531138352683,0.035640343956102535
Cfl1,0.7811203319502075,0.7826284102649333,0.03895309826265441
Cfl2,0.17686721991701246,0.17638682414692217,0.21025563269224307
Chchd1,0.11566390041493776,0.11539425038774935,0.10590575968296392
Chchd10,0.24325726141078838,0.24257948206330923,0.30076237391418165
Chchd2,0.716804979253112,0.7174725391470108,0.03562034222244698
Chchd3,0.14470954356846474,0.14483803672605575,0.15606488464502277
Chchd7,0.15352697095435686,0.1533527913954845,0.05293481237453713
Chmp2a,0.27645228215767637,0.2769483533091209,0.06569954464544289
Chmp2b,0.10269709543568464,0.10242161699819192,0.05531591909076332
